#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH
1,Puzzle guy@UCGl7qkMPao3EBkxIDlPal4g,1.7M,0.30%,Czech Republic,,501K
2,MenT@UCk-1Oa5qkBUXNKYdK95os8g,1.4M,0.40%,Czech Republic,,432K
3,Игорь Линк@UCptRK95GEDXvJGOQIFg50fg,1.2M,-,Czech Republic,,366K
4,HONEST GUIDE@UCt7oj318jVQi7vRbc1bNjJA,1.2M,0.40%,Czech Republic,,348K
5,Jirka Král@UCCAHP3LeWVBvrMnV-Lu4FOQ,1.1M,3.20%,Czech Republic,,333K
6,Silvie Mahdal@UCQp5qNTmUn1MlgF2RD2f7MQ,1M,0.80%,Czech Republic,,306K
7,Godzu@UCek8zsIojbAidIscsWK-vhQ,1M,0.10%,Czech Republic,,303K
8,PedrosGame@UC3EBc4yDCaOArj7r-RljB3w,978K,0.20%,Czech Republic,,293.4K
9,RC T4K@UCCkZxA9D3REfV95HI30QcQQ,964K,-,Czech Republic,,289.2K
10,DIY crafts from A4 PAPER@UCQRYdu-8IU0hbWCXFOe7BhA,937K,0.10%,Czech Republic,,281.1K
11,Adam Something@UCcvfHa-GHSOHFAjU0-Ie57A,924K,3.50%,Czech Republic,,277.2K
12,Kovy@UCGC8o-hW_TS-UpnThU0Wa1w,883K,1.60%,Czech Republic,,264.9K
13,Baxtrix@UCiHtAViQdUMJeHuPq5cJjVw,871K,-,Czech Republic,,261.3K
14,TVTwixx@UCnJSOADExesS_6CboP3dtVw,844K,-,Czech Republic,,253.2K
15,FattyPillowTV@UC_c01No6K3fhgPafCUzEf6w,815K,0.50%,Czech Republic,,244.5K
16,FIZIstyle@UC4Gumj80pOghE8G7xq4Yxjg,764K,1.80%,Czech Republic,,229.2K
17,Porty@UCmuQS6Vpw4JxVMPsTRCqAZg,736K,-,Czech Republic,,220.8K
18,Wedry@UCeCLFJeRK1qBp3pxNupkNiA,724K,-,Czech Republic,,217.2K
19,ViralBrothers SHOW@UCiVhsXk-DUzlf0BvBXnIxog,709K,21.50%,Czech Republic,,212.7K
20,PLASMO - plastic models@UC53hZgZPlQmKWFRFSpxbSxw,685K,1.80%,Czech Republic,,205.5K
21,United Music Events@UCbnZg6ak7qs601DHifli5-g,682K,-,Czech Republic,,204.6K
22,TopTrending CZ@UCMxCOp8kWq5ywMTr9Ud7-yw,664K,-,Czech Republic,,199.2K
23,SirYakari@UCggdHIILKfXpdB_0KI0Nmeg,660K,-,Czech Republic,,198K
24,Radio Free Europe/Radio Liberty@UCG_Qif8SJIS3XxU8iqHoInw,644K,0.10%,Czech Republic,,193.2K
25,Suara Injil@UCg_y7_PzxUTi_mjOxV4An2Q,641K,-,Czech Republic,,192.3K
26,Tractors Chemer@UCcIwn1htf2Y6kkliUtVLm_Q,634K,-,Czech Republic,,190.2K
27,Agraelus@UCcu_SCx4ZLyh6741RLjR6IA,629K,1.40%,Czech Republic,,188.7K
28,petangames@UCtSLGrpQTiXw4And77r-JtQ,617K,1.50%,Czech Republic,,185.1K
29,NejFake@UCiBiHROAfhcWgFbyqhkG39Q,610K,-,Czech Republic,,183K
30,Ben Cristovao@UCbg2VbVFGVy_06MMdxvddEg,590K,-,Czech Republic,,177K
