#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH,total_subscribers,total_views,total_videos,Engagement_Rate,Monthly_Views,Monthly _Subscriber _Growth (%),Absolute_Monthly _Subscriber _Growth
63,BESPREDEL@UCe0v5eCjYTrVkpv5_H-YDBg,380K,0.50%,Czech Republic,,114K,495000,156290173,41,0.0197,19100,0.0047,2300
64,Carrie Kirsten@UCwpmxAwSLINKmz_OZDroZxQ,369K,1.10%,Czech Republic,,110.7K,392000,1086559,1,0.034,74300,0,-5
65,MaTTem@UC3IppMXDBerofqw3QJ4v8Pg,365K,3.40%,Czech Republic,,109.5K,537000,206080021,627,0.0664,265300,0.0046,2500
66,Svět podle Katky@UCDeqopaBWkRWuw0Pbi8o-Xw,362K,1.50%,Czech Republic,,108.6K,356000,87883271,454,0.0579,27300,-0.0001,-33
67,FactsForYou@UC2EsCeQtqfOOSTbq0hjywaw,360K,0.20%,Czech Republic,,108K,351000,182276466,243,0.0096,28600,0,-6
68,SCS Software@UCb9XDB0X13EEqUqCSsOhonQ,358K,-,Czech Republic,,107.4K,402000,87263804,684,0.061,16800,0.0059,2400
69,MarleyKKT@UCE7PlKD1JpFvmiDOy7fhOkA,346K,-,Czech Republic,,103.8K,397000,74419732,236,0.0569,567700,0.002,782
70,Attack@UCMxStfOxJOaE-RRkjFwUQtg,346K,2.30%,Czech Republic,,103.8K,629000,239488371,901,0.034,367200,0.0088,5500
71,JanBendigOfficial@UCCd3EhLVX0eem38v0ef9ONQ,338K,-,Czech Republic,,101.4K,400000,209059308,144,0.0221,280600,0.0088,3500
72,Veronika Spurná@UCJhCl2hxGtlZ6HUrSf0-GKg,337K,0.40%,Czech Republic,,101.1K,330000,102314710,258,0.0525,325100,0,0
73,TOP veci do 2 minut@UCDwQXcXjhA3WNvYDx7Z5hYw,329K,1.50%,Czech Republic,,98.7K,372000,272947239,1457,0.0736,59100,0.0008,304
74,Alkanhraje@UCnhzkAZnYO3tAV37C7no4ow,329K,1.10%,Czech Republic,,98.7K,430000,313489638,2952,0.065,79900,0.0099,4200
75,Prague Cello Quartet@UC9sPNbXInKkYb4_wu9wRcdA,326K,-,Czech Republic,,97.8K,347000,47061781,12,0.0206,38100,0.0012,430
76,N3roGames@UCgf8oM-FkPzgSVOhIL-0hCw,324K,0.90%,Czech Republic,,97.2K,368000,118849517,1838,0.0647,12500,0.0051,1900
77,PIERRE XO@UC6diDF6yyJ6EPVG80bMzTKw,321K,1.60%,Czech Republic,,96.3K,293000,5418020,42,0.0907,4300,-0.0003,-101
78,TOP Topics@UCj3DRX5dqrKuo-Lrr6ziPyQ,318K,0.10%,Czech Republic,,95.4K,329000,24724349,99,0.0187,29800,0,2
79,tynikdy@UCfDtYv8FeHwhhFz0rJl64qg,316K,-,Czech Republic,,94.8K,325000,371590500,1504,0.0282,439,0.002,666
80,Pokáčovo Kanál@UCDEW2psJxrMGqvjv-xTSspQ,316K,1.70%,Czech Republic,,94.8K,371000,281162712,341,0.0274,110300,0.001,358
